('2016-08', 1.575517902711486e+17)
('2016-09', 2.7099988975149875e+17)
('2016-10', 2.6239898209485373e+17)
('2016-11', 2.0231788592331693e+17)
('2016-12', 3.0402780082904966e+17)
('2017-01', 3.559905958906322e+17)
('2017-02', 5.354255372826449e+17)
('2017-03', 1.8018857184539287e+18)
('2017-04', 2.469472953763996e+18)
('2017-05', 5.386944933665667e+18)
('2017-06', 2.2094278780029293e+19)
('2017-07', 5.296304922916344e+19)
('2017-08', 1.455296459247652e+20)
('2017-09', 1.6571017174755856e+20)
('2017-10', 1.4193341425964027e+20)
('2017-11', 1.7962826535957604e+20)
('2017-12', 6.84893958069538e+19)
