('2016-07', 2.1645507440666838e+17)
('2016-08', 1.7153342950359132e+18)
('2016-09', 1.7437561047816146e+18)
('2016-10', 2.1547296303776924e+18)
('2016-11', 1.471879506542946e+18)
('2016-12', 1.6424292271350193e+18)
('2017-01', 2.3326302544017316e+18)
('2017-02', 3.0315421946356116e+18)
('2017-03', 7.513660193076873e+18)
('2017-04', 9.365151703394273e+18)
('2017-05', 2.1414999795367584e+19)
('2017-06', 5.233321085941123e+19)
('2017-07', 8.401119816057328e+19)
('2017-08', 1.2195815691977182e+20)
('2017-09', 1.2969332123853201e+20)
('2017-10', 1.039676390838899e+20)
('2017-11', 9.291891745276897e+19)
('2017-12', 1.3896930342939252e+20)
('2018-01', 1.911256077952511e+20)
('2018-02', 1.796606866909491e+20)
('2018-03', 1.632497674090881e+20)
('2018-04', 1.47500544723993e+20)
('2018-05', 1.6335512552493472e+20)
('2018-06', 1.4200348717856938e+20)
('2018-07', 1.4651400966468546e+20)
('2018-08', 1.3577078881636198e+20)
('2018-09', 1.2236647966917034e+20)
('2018-10', 1.1061035188616924e+20)
('2018-11', 1.0110035948677279e+20)
('2018-12', 8.280783841826737e+19)
('2019-01', 8.190083939348629e+19)
('2019-02', 7.320184632422411e+19)
('2019-03', 4.9524673348498104e+19)
('2019-04', 5.5116335960837505e+19)
('2019-05', 6.990279166612734e+19)
('2019-06', 6.663560163798499e+19)
