('2016-07', 2.718958970612495e+17)
('2016-08', 3.3090653484252334e+18)
('2016-09', 3.664407855239301e+18)
('2016-10', 3.7885071058745856e+18)
('2016-11', 2.042418418124033e+18)
('2016-12', 7.338033309097378e+16)
('2017-01', 9.008018607132115e+16)
('2017-02', 8.077608327164771e+16)
('2017-03', 4.002547211877932e+17)
('2017-04', 3.894301116248709e+17)
('2017-05', 1.4490512169815828e+18)
('2017-06', 5.34327808553945e+18)
('2017-07', 6.519868087058378e+18)
('2017-08', 1.008868102297838e+19)
('2017-09', 1.4819432308195158e+19)
('2017-10', 1.1263434923421493e+19)
('2017-11', 1.5588975032167318e+19)
('2017-12', 3.6429620739654926e+19)
('2018-01', 7.34655697293912e+19)
('2018-02', 3.5853841953898926e+19)
('2018-03', 2.479765650510974e+19)
('2018-04', 1.8190956842146005e+19)
('2018-05', 1.7230088406829412e+19)
('2018-06', 1.115981773601843e+19)
('2018-10', 2.663552566255318e+16)
('2019-01', 5016104683133135.0)
('2019-03', 3738051403883900.0)
('2019-04', 1868782580019087)
('2019-05', 5716621807119833.0)
('2019-06', 4075830573246786.0)
