[1, 2017]	5.620285956535426e+19
[1, 2019]	4.45481388890254e+18
[10, 2015]	7.416931809333608e+19
[10, 2017]	2.673691042474723e+19
[11, 2016]	3.9644316438348145e+19
[11, 2018]	5.397909048901687e+18
[12, 2015]	2.6764096183939777e+19
[12, 2017]	1.3737046580113578e+19
[2, 2016]	6.554760875990558e+19
[2, 2018]	6.23036279509048e+18
[3, 2017]	1.77021580942219e+20
[3, 2019]	3.82327466867818e+18
[4, 2016]	2.2670632047051923e+19
[4, 2018]	2.449268234852297e+18
[5, 2017]	1.248477736519285e+20
[5, 2019]	4.005277417445861e+18
[6, 2016]	3.049033485006488e+19
[6, 2018]	2.808523416305672e+18
[7, 2017]	6.498146379271786e+19
[8, 2016]	5.9081987372901745e+19
[8, 2018]	2.3989507981127424e+18
[9, 2015]	7.046467945767235e+19
[9, 2017]	3.4388885218278113e+19
[1, 2016]	6.1066070477197754e+19
[1, 2018]	1.1164572720748577e+19
[10, 2016]	3.2444426339708813e+19
[10, 2018]	3.0704021430260526e+18
[11, 2015]	5.948474386250735e+19
[11, 2017]	2.9641103274740425e+19
[12, 2016]	6.146658677538237e+19
[12, 2018]	5.944894163484676e+18
[2, 2017]	5.5580090162627715e+19
[2, 2019]	3.9808452645114465e+18
[3, 2016]	4.585306412777953e+19
[3, 2018]	2.7280798911625533e+18
[4, 2017]	1.1135007462190776e+20
[4, 2019]	4.1280245320092544e+18
[5, 2016]	4.7046609524466655e+19
[5, 2018]	2.498190913653367e+18
[6, 2017]	5.678772230936551e+19
[6, 2019]	3.0362427767094016e+18
[7, 2016]	9.577823510583093e+19
[7, 2018]	2.2749347554397706e+18
[8, 2015]	4.805211845959821e+20
[8, 2017]	4.8273956518857196e+19
[9, 2016]	3.2627612247555543e+19
[9, 2018]	3.7334811019823575e+18
